PROGRAM CODE,PROGRAM NAME,COLLEGE CODE
BSCS,Bachelor of Science in Computer Science,CCS
BSCA,Bachelor of Science in Computer Applications,CCS
BSIT,Bachelor of Science in Information Technology ,CCS
BSIS,Bachelor of Science in Information System,CCS
BSEE,Bachelor of Science in Electrical Engineering ,COE
BSME,Bachelor of Science in Mechanical Engineering ,COE
BSBIO,Bachelor of Science in Biology,CSM
BAELS,Bachelor of Arts in English Language Studies,CASS
BPEd,Bachelor of Physical Education,CED
BSA,Bachelor of Science in Accountancy,CEBA
BSN,Bachelor of Science in Nursing,CHS
